RESTAURANT_NAME,CITY,AREA,RATING,RATING_COUNT,CUSINE,Online_Order,TABLE_RESERVATION,FAMOUS_FOOD
"Om Vati Sweet","Delhi NCR","Sector 39, Gurgaon",0,0,"Mithai, Street Food",No,No,NULL
"Little Loco Pops",Mumbai,"Malad West",3.1,4,"Ice Cream",Yes,No,NULL
Gravies,"Delhi NCR","Hauz Khas",3.7,180,"North Indian, Biryani, Mughlai",No,No,"Hyderabadi Biryani , Murgh Lababdar , Boondi Raita , Chicken Tikka Masala , Chicken Biryani , Butter Chicken , Mutton Biryani"
"Asharam Foods","Delhi NCR","Chandni Chowk",3.6,18,"North Indian",No,No,NULL
"Bell Pepper",Kolkata,Khardah,0,0,"North Indian",No,No,NULL
Rapture,"Delhi NCR","Vivek Vihar, Delhi",3.5,165,"Bakery, Fast Food",Yes,No,"Sandwich , Brownie , Pasta , Chocolate Truffle , Garlic Bread , Eggless Cake , Fries"
"Kamaluddin Restaurant",Mumbai,Byculla,3.4,22,"Chinese, Mughlai",No,No,NULL
"Anju Restaurant","Delhi NCR",Munirka,0,0,"North Indian",No,No,NULL
"Choudhary Gohana Famous Jalebi","Delhi NCR","Old Railway Road",2.9,15,"Mithai, North Indian",No,No,NULL
"D'Momo Factory","Delhi NCR",Pitampura,4,173,"Chinese, Thai, Momos",Yes,No,"Noodle , Momo Burger , White Sauce Pasta , Tandoori Paneer Momos , Chicken Momo Platter , Wheat Momo , Wings"
"New Town Bakery",Kolkata,"Chinar Park",3.2,68,"Bakery, Chinese, North Indian, Italian",Yes,No,NULL
"Bowl Baby Bowl","Delhi NCR","Sector 21, Gurgaon",0,0,"Mexican, Continental",No,No,NULL
"Lazeez Chicken Corner","Delhi NCR","Vasundhara Enclave",3.7,104,"North Indian",Yes,No,"Chicken Biryani , Tandoori Roti , Chicken Stew , Chicken Rara , Tawa Roti"
"Fabelle Exquisite Chocolates",Kolkata,Ballygunge,3.5,20,Desserts,No,No,NULL
"Bunooro Barbeque","Delhi NCR",Najafgarh,0,0,"Continental, Chinese",No,No,NULL
"Nawab Seekh Corner",Mumbai,"Mohammad Ali Road",0,0,"Rolls, Kebab",Yes,No,NULL
"Vrinda's Food","Delhi NCR",Shahdara,3.3,34,"North Indian, Chinese, South Indian, Bakery",No,No,NULL
"Don's Den","Delhi NCR","Netaji Subhash Place",3.1,6,"North Indian, Chinese, South Indian, Continental",No,No,NULL
"Hotel Ambika Pure Veg",Mumbai,"Dombivali East",3.8,315,"North Indian, Chinese, South Indian",No,No,"Pav Bhaji , Manchurian , Paneer Tikka Masala , Idli Sambar , Lassi , Khichda , Pizza"
Chowpati,"Delhi NCR","Sector 31, Noida",3.5,48,"Street Food",Yes,No,"Bhel Puri , Panipuri"
"Lust By The Pool - Radisson Blu Kaushambi Delhi NCR","Delhi NCR",Kaushambi,3.6,65,Asian,No,Yes,NULL
KSC,"Delhi NCR",Vikaspuri,3,4,"North Indian, Chinese",Yes,No,"Tawa Paneer , Soya Malai Tikka , Tandoori Chicken , Singapuri Chowmein"
"Bukhara - ITC Maurya","Delhi NCR",Chanakyapuri,4.3,4263,"North Indian, Kebab",No,No,"Dal Bukhara , Naan , Dal Makhani , Raan , Jumbo Prawns , Paneer Tikka , Rasmalai"
"Zaiqa Mediterranean And Asian Cuisine",Kolkata,"Park Street Area",3.1,4,"Mediterranean, Asian",No,No,NULL
"Jayka The Restaurant","Delhi NCR",Indirapuram,3.4,33,"Chinese, Mughlai, North Indian",Yes,No,NULL
"Lorreta's Sweet Inspirations",Mumbai,Vasai,3.6,25,"Bakery, Desserts",No,No,NULL
"Kushal Ki Rasoi","Delhi NCR",Munirka,0,0,"North Indian",No,No,NULL
Aashirwad,"Delhi NCR","Mayur Vihar Phase 1",3.7,181,"North Indian, Chinese",Yes,No,"Paratha , Malai Kofta , Chole , Dum Aloo , Roti"
Jadukadai,Kolkata,Konnagar,3.4,17,"North Indian, Chinese",Yes,No,NULL
"Shri Ram Bhojnalaya","Delhi NCR","Mukherjee Nagar",0,0,"North Indian",No,No,NULL
"Royal Cafe","Delhi NCR","Sector 45, Noida",3.3,13,"Fast Food",Yes,No,NULL
"The Friendz Pizza","Delhi NCR",NIT,0,0,Pizza,No,No,NULL
"UG Cafe Bar - HHI",Kolkata,Elgin,3.4,18,"Continental, Mexican, Desserts, Italian, Afghan",No,No,NULL
"Mirch The Multicuisine","Delhi NCR","Alpha 1",0,0,"North Indian, Chinese",No,No,NULL
Asia,"Delhi NCR","Dilshad Garden",0,0,"North Indian",No,No,NULL
"The Pavor's","Delhi NCR",Janakpuri,3.7,62,"North Indian, Chinese, Momos",Yes,No,"Spring Roll"
"Paramjeet Machi Wala","Delhi NCR","Moti Nagar",4,288,"Seafood, North Indian",No,No,"Fish Tikka , Chicken Seekh Roll , Rolls , Chicken Tikka , Fish Fry , Malai Tikka , Tandoori Fish"
"Mathur's Kitchen","Delhi NCR","Dilshad Garden",3.1,4,"North Indian, Mughlai",No,No,NULL
"Barbeque Street",Mumbai,Kharghar,0,0,"North Indian, Mughlai, Chinese",Yes,No,NULL
"The Atrium - Savoy Suites","Delhi NCR","Knowledge Park",3.2,8,"Asian, Continental, North Indian",Yes,Yes,"Haryali Paneer Tikka , Ajwaini Fish Tikka , Chicken Malai Tikka"
"Pizza King","Delhi NCR","Palam Vihar",3.4,29,Pizza,No,No,NULL
"Oriental Spice",Mumbai,"Panch Pakhadi, Thane West",3.9,766,Chinese,No,No,"Noodle , Brownie , Manchow Soup , Prawn , Crabmeat Soup , Crab Soup , Kung Pao Chicken"
Mithaas,"Delhi NCR","Sector 62, Noida",4.1,893,"Mithai, North Indian, South Indian, Street Food, Chinese",Yes,No,"Jalebi , Rasmalai , Pav Bhaji , Samosa , Rasgulla , Chole Bhature , Raj Kachori"
"Rrice & Sspice",Kolkata,"New Town",2.9,6,"Bengali, Mughlai, Chinese",Yes,No,NULL
"Cakes & Bakes","Delhi NCR","Malviya Nagar",3.6,141,Bakery,Yes,No,"Hot Dog , Truffle , Pineapple Cake , Fondant Cake"
"Cream Creations",Kolkata,Maniktala,3.4,19,Bakery,No,No,NULL
"Sweet Treat","Delhi NCR","Chittaranjan Park",3.6,67,Mithai,Yes,No,Rasgulla
Indians,"Delhi NCR","Shastri Nagar",0,0,"Burger, Fast Food, Pizza",No,No,NULL
"Bite Me","Delhi NCR","Karol Bagh",3,64,"Fast Food, North Indian, Chinese",Yes,No,NULL
"Madira Restaurant & Bar",Mumbai,Parel,3.1,48,"North Indian, Chinese, Seafood",No,No,Beer
"Biryani Batees","Delhi NCR","Greater Kailash 1 (GK1)",3.9,232,"Biryani, Lucknowi, North Indian, Mughlai",Yes,No,"Hyderabadi Biryani , Chicken Tikka , Lucknowi Biryani , Mutton Biryani , Butter Chicken Biryani , Vegetable Biryani , Tandoori Chicken"
"Fresh Cake & Pastry Shop","Delhi NCR","Sector 72, Noida",0,0,Bakery,No,No,NULL
"Deli - The Gateway Hotel",Kolkata,Kasba,3.9,50,"Bakery, Desserts",No,No,"Brownie , Tea , Chocolate Cake"
"Eat 'n' Treat","Delhi NCR","Raj Nagar",0,0,Bakery,No,No,"Icecream , Paneer Patty , Muffin , Cupcake"
"Barbeque Destination","Delhi NCR","Sector 15, Gurgaon",3.7,50,"North Indian, Chinese",Yes,No,"Butter Chicken , Tandoori Momos"
"Park Street Bites","Delhi NCR","Sector 72, Noida",0,0,"Fast Food",No,No,NULL
"Kuch Toh Mangalo","Delhi NCR","Vasant Kunj",3.2,7,"Fast Food, North Indian",No,No,NULL
"Takkar Dhaba","Delhi NCR",Kalkaji,3.5,109,"North Indian",No,No,"Chicken Bharta , Plain Naan , Paratha"
"Food Farm","Delhi NCR","Sector 41, Noida",3.3,27,"North Indian, Chinese",Yes,No,"Chilli Potatoes , Steamed Rice , Murgh Lababdar , Rajma Masala"
"South Indian Kitchen",Kolkata,Tollygunge,3.3,7,"South Indian",Yes,No,NULL
Fittoo,Mumbai,"Kandivali West",3.4,15,"Italian, Salad, Healthy Food",Yes,No,NULL
"Le Cafe Foodies Adda","Delhi NCR","Central Delhi",0,0,"North Indian, Chinese, Fast Food",No,No,NULL
"Hot Box",Mumbai,Virar,3.5,27,"Chinese, North Indian",Yes,No,NULL
"Punjabi Rasoi","Delhi NCR",Kalkaji,2.6,43,"North Indian",Yes,No,NULL
"Ginger Garlic","Delhi NCR","Sector 57, Gurgaon",3.6,193,"Chinese, Thai",Yes,No,"Noodle , Hakka Noodles , Vegetable Spring Roll , Momos , Chicken Honey , Clear Soup , Lamb"
"Ud's Rasoi","Delhi NCR",Vikaspuri,3.2,19,"North Indian, Chinese",Yes,No,NULL
"Mirch Masala",Kolkata,"Sector 1, Salt Lake",0,0,"Fast Food",No,No,NULL
"The Grilled Station","Delhi NCR","Mayur Vihar Phase 3",3.8,80,"Fast Food",Yes,No,NULL
"Flavours Food Hub","Delhi NCR",Rohini,0,0,"Fast Food",No,No,NULL
"Nice Kream",Mumbai,"Kemps Corner",3.6,80,"Ice Cream, Desserts",No,No,"Nitrogen Ice Cream"
"Bread & Pasta","Delhi NCR","Sector 48, Noida",3.4,21,"Fast Food",Yes,No,NULL
Desi'52,"Delhi NCR","Sector 53, Gurgaon",3.7,23,"North Indian",Yes,No,NULL
"A-1 Kolkata Kathi Roll","Delhi NCR",Indirapuram,0,0,"Rolls, Momos",No,No,NULL
"The Anchorage Bar - The Floatel Hotel",Kolkata,"Dalhousie BBD Bagh",3.3,49,"Finger Food",No,No,NULL
"Dosa 'n' Chinese","Delhi NCR",Sahibabad,2.7,9,"South Indian, Chinese, Momos",No,No,NULL
"The All American Diner","Delhi NCR","Lodhi Road",4.1,5400,"American, Salad",No,No,"Pancakes , Burgers , Waffles , Pasta , Hot Dog , Sandwich , Breakfast Buffet"
"Punjabi Dhaba","Delhi NCR","Sainik Colony",3.3,11,"North Indian",No,No,NULL
"Fusion Kitchen","Delhi NCR",Vikaspuri,3.2,14,"North Indian, Chinese",Yes,No,"Chicken Tikka Wrap , Pasta Chicken Biryani , Chicken Kulcha Sandwich , Cripsy Fish Finger"
"Bikaner Kitchen","Delhi NCR","Vivek Vihar, Delhi",0,0,"North Indian, Fast Food",No,No,NULL
"Bangoli Dhaba",Kolkata,Barrackpore,0,0,"Bengali, North Indian",Yes,No,NULL
"House of Biryanis",Mumbai,Worli,3.8,33,"Biryani, North Indian, Kebab",Yes,No,"Gooey Chocolate , Tikka , Paneer Cheese , Tandoori Chicken , Hyderabadi Chicken Biryani , Gulab Jamun , Butter Chicken Biryani"
"Tandoori Nature","Delhi NCR",Jangpura,3.3,15,"North Indian, Chinese, Rolls",Yes,No,NULL
"Nourishef 0 The Taste of Health",Kolkata,Baghajatin,0,0,"Continental, Healthy Food",No,No,NULL
"Shri Sai Restaurant","Delhi NCR","Sector 51, Noida",0,0,"North Indian",No,No,NULL
"Spicy Chicken","Delhi NCR","Uttam Nagar",0,0,"North Indian",No,No,NULL
"Noodlez Express","Delhi NCR","Krishna Nagar",3.7,97,Chinese,Yes,No,"Noodle , Momos , Spring Roll"
"Panda Town","Delhi NCR",Janakpuri,3.8,91,Chinese,Yes,No,"Noodle , Honey Chilli Potatoes , Hakka Noodles , Chicken Lollipop , Rolls , Egg Spring Roll , Momos"
"Dwarkadhish Bhojnalya","Delhi NCR","Nehru Nagar",0,0,"North Indian",No,No,NULL
"Red Carpet",Kolkata,"Dum Dum",3.3,140,"North Indian, Chinese",No,No,"Biryani , Chilli Chicken , Noodle , Naan , Schezwan Chicken , Chicken Soup"
"Pa Pa Ya","Delhi NCR",Saket,4.7,3362,"Asian, Chinese, Thai, Japanese",No,Yes,"Cocktails , Chocolate Ball , Noodle , Mocktails , Tuna Sushi , Watermelon Juice , Crab Meat"
"Baza Restaurant","Delhi NCR","Sector 83, Gurgaon (Gurugram)",3.3,46,"North Indian, South Indian, Chinese",Yes,No,NULL
"Dilli Chaat Bhandar","Delhi NCR","Old Railway Road",3.2,8,"Street Food",No,No,NULL
"The Bombay Cafe",Mumbai,"Grant Road",4.5,103,"Desserts, South Indian",Yes,No,"Waffles , Pancakes , Jini Dosa , Dilkhush Dosa , Gini Dosa , Cotton Candy , Pizza Dosa"
"Rajinder Ka Dhaba","Delhi NCR","Sector 7, Dwarka",2.5,261,"North Indian, Chinese",Yes,No,"Dal Makhani , Butter Chicken , Chicken Methi Malai , Chicken Curry , Roti , Garlic Naan , Afghan Chicken"
"The King Of Pizza","Delhi NCR","Sector 49, Noida",3.6,204,"Fast Food, Burger",Yes,No,"Pizza , Pasta"
"The Chinese Kitchen","Delhi NCR",Ghaziabad,0,0,Ã„Å’ÃƒÂ­nska,No,No,NULL
"Amber Family Restaurant",Mumbai,"Veera Desai Area",3.5,42,"Chinese, North Indian",No,No,NULL
"Amul Ice-Cream Parlour","Delhi NCR","Chander Nagar, Delhi",0,0,"Ice Cream",No,No,NULL
Asmars,Kolkata,Kestopur,0,0,"North Indian, South Indian, Beverages",Yes,No,NULL
"Dal Cheeni","Delhi NCR","Sector 56, Gurgaon",3.4,15,"North Indian, Chinese, Continental, Italian",Yes,No,NULL
Italiano,Mumbai,"Malad West",3.7,115,Italian,Yes,No,Pasta
Shyam's,Kolkata,Salkia,3.4,29,"South Indian",No,No,NULL
"AWM All Wings Meal","Delhi NCR",Munirka,0,0,"Chinese, Fast Food, Beverages",No,No,NULL
Al-Zaika,"Delhi NCR","Malviya Nagar",2.9,34,Hyderabadi,Yes,No,NULL
"U Me & Momos","Delhi NCR","Malviya Nagar",0,0,"Chinese, Continental, Momos, Beverages",No,No,NULL
"Hot Plate","Delhi NCR","Sector 132, Noida",3.6,57,"North Indian, Chinese, Continental",Yes,No,"Butter Chicken"
"Punjabi Tadka","Delhi NCR","Tilak Nagar",3.3,19,"North Indian, Chinese",Yes,No,NULL
"Chick N Cheese","Delhi NCR","Crossing Republik",0,0,"North Indian, Mughlai",No,No,NULL
"Kulcha Singh Amritsari","Delhi NCR",Vaishali,3.6,120,"North Indian",Yes,No,"Momos , Manchurian , Amritsari Lassi , Fried Rice , Noodle , Biryani"
"The Food Storey",Kolkata,"Southern Avenue",3.9,75,"Continental, Asian",No,No,"Chicken Parmigiana , Steak , Pork Chops , Noodle"
"Yellow Makai Restaurant","Delhi NCR",Vaishali,0,0,"North Indian",No,No,NULL
"Dream Food Bank","Delhi NCR","Sector 12, Gurgaon",3.1,6,"North Indian",No,No,NULL
"Udupi Veg Restaurant",Mumbai,Mumbra,3.6,39,"North Indian, South Indian",No,No,NULL
"Tandoor Tadka",Mumbai,"Borivali West",3.9,211,"Lebanese, Chinese, North Indian",Yes,No,"Arabian Shawarma , Tandoori Chicken , Cheese Shawarma"
"Pappu Indian & Chinese Restaurant","Delhi NCR",Munirka,0,0,"Chinese, North Indian",No,No,NULL
"Vicky Marinated Momos","Delhi NCR","Lajpat Nagar 4",3.9,128,"Street Food",Yes,No,"Paneer Momos"
"Glass N Grill",Kolkata,Uttarpara,3.4,15,"North Indian, Chinese",Yes,No,NULL
"Saravana Bhavan","Delhi NCR","Connaught Place",4.4,7906,"South Indian, Desserts, Beverages",No,No,"Filtered Coffee , Thali , Mini Idlis , Appam , Rava Masala Dosa , Ghee Idli , Paneer Dosa"
Moolchand's,"Delhi NCR","Karol Bagh",3.5,56,"Fast Food",No,No,"Chaat , Thali , Lassi , Masala Dosa"
"Lick Me Ice Cream & Coffee Shop",Mumbai,Nalasopara,3.4,44,"Cafe, Desserts, Ice Cream, Beverages",Yes,No,Waffles
ZopMeals,"Delhi NCR","Delhi University-GTB Nagar",3.8,287,"Continental, Italian, North Indian, Chinese",Yes,No,"Dal Makhani , Butter Chicken , Spring Roll , Pasta , Veg Manchurian , Hot Chocolate , Aloo Patty"
"The Momo Hut","Delhi NCR","Vasant Vihar",0,0,"Chinese, Rolls",No,No,NULL
"Royal Fast Food","Delhi NCR","New Friends Colony",0,0,"Fast Food",No,No,NULL
"Tutur Kitchen",Kolkata,Baguihati,2.7,22,"Chinese, North Indian",No,No,NULL
"VP ki Kitchen","Delhi NCR","Sector 53, Noida",0,0,"North Indian, Mughlai, Chinese",No,No,NULL
"Startup Cafe","Delhi NCR",Jasola,3.9,354,"Cafe, Fast Food, North Indian",Yes,No,"Pizza , Club Sandwich , Chicken Tikka , Veg Platter , Burgers , Pasta Alfredo , Nachos"
Chaska,"Delhi NCR","Raj Nagar",3.4,38,"North Indian",Yes,No,"Malai Kofta , Afghani Chaap , Mutton Seekh Kebab , Chicken Seekh Kebab"
"Shake And Juice.com","Delhi NCR","Vijay Nagar",3.2,7,"Beverages, Ice Cream",Yes,No,NULL
"Empire Bar",Kolkata,Chowringhee,3.7,56,"Finger Food",No,No,"Cocktails , Fish Finger"
KFFCorner,"Delhi NCR","Uttam Nagar",3.1,5,"Fast Food",Yes,No,NULL
"Pa Bakers",Mumbai,Vikhroli,3.7,65,Bakery,No,No,"Brownie , Chocolate Cake"
"Sardar Ji Pakode Wale","Delhi NCR","West Patel Nagar",3.6,26,"Fast Food",No,No,NULL
"Super Cake Point","Delhi NCR",Wazirabad,0,0,"Bakery, Desserts",No,No,NULL
"Sahi Muradabadi Chicken Biryani Corner","Delhi NCR",Indirapuram,2.9,4,"Biryani, North Indian",No,No,NULL
"Haji Affan Biriyani",Kolkata,"New Town",3.6,45,Biryani,Yes,No,NULL
"Asli Muradabadi Chicken Biryani","Delhi NCR",Saket,0,0,Biryani,Yes,No,"Mutton Biryani , Mutton Korma , Chicken Biryani"
Gaon,"Delhi NCR","Lajpat Nagar 2",3.9,214,"Bihari, Rajasthani",Yes,No,"Rajasthani Thali , Liti Chokha , Dal Bati , Litti , Bhuna Chicken , Churma , Lal Maans"
Tamak,Mumbai,"Santacruz West",4.3,295,"North Indian",Yes,Yes,"Butter Chicken , Paan Ice Cream , Shahi Paneer , Jalebi Rabri , Dal Makhani , Soya Chaap , Kulcha"
"Brownie Bakers",Mumbai,Ulwe,0,0,Bakery,Yes,No,NULL
"Jeeta Kulfi Walle","Delhi NCR","Krishna Nagar",3.6,57,Desserts,Yes,No,NULL
"Olive Bar & Kitchen","Delhi NCR",Mehrauli,4.4,2481,"Mediterranean, Italian, European, Salad, Seafood",Yes,Yes,"Pizza , Pasta , Wine , Cocktails , Mezze Platter , Salad , Tiramisu"
"Premium Royal Biryani","Delhi NCR",Rohini,0,0,"Biryani, North Indian",No,No,NULL
"Nasta Junction","Delhi NCR","Tilak Nagar",0,0,"Street Food",No,No,NULL
"Chicken Point","Delhi NCR","Geeta Colony",3.4,99,"North Indian",Yes,No,"Butter Chicken , Chicken Tikka , Chilli Chicken"
Vayanjan,"Delhi NCR",Kalkaji,3.2,7,"North Indian, Chinese",Yes,No,NULL
"Pizza Hub","Delhi NCR","Dilshad Garden",3.4,23,Pizza,No,No,NULL
Kathleen,Kolkata,Baguihati,0,0,"Bakery, Desserts",No,No,NULL
Shakespier,"Delhi NCR","Green Park",0,0,"Cafe, Italian, Mexican",Yes,No,NULL
"Cafe Kolkata",Kolkata,"Bara Bazar",0,0,"Fast Food",No,No,NULL
"Standard Fast Food & Restaurant","Delhi NCR",Alaknanda,0,0,"North Indian, Chinese",No,No,NULL
Souffle,Mumbai,"Malad East",3.2,6,"Bakery, Desserts, Fast Food",No,No,NULL
"Cascades - The Grand New Delhi","Delhi NCR","Vasant Kunj",3.9,229,"North Indian, Continental, Asian",No,Yes,"Pancakes , Fish , Breakfast Buffet , Salad , Sushi , Lunch Buffet , Dal Makhani"
"My Mother's Kitchen","Delhi NCR","Sector 54, Gurgaon",3.4,12,"North Indian",Yes,No,NULL
"Kings Food Corner","Delhi NCR","Sohna Road",3.2,16,"North Indian, South Indian",Yes,No,"Tandoori Chicken , Chicken Rara , Chicken Tikka"
Maati,"Delhi NCR","Amrapali Leisure Valley",4.1,237,"North Indian, Chinese, Mughlai, Biryani",Yes,No,"Paneer Tikka , Momos , Butter Chicken , Noodle , Tandoori Chicken , Biryani , Matka Murgh"
"Bholu Da Dhaba","Delhi NCR",Mahipalpur,0,0,"North Indian",No,No,NULL
Sugandh,"Delhi NCR","Raj Nagar",3.8,304,Mithai,Yes,No,"Samosa , Chole Bhature , Dhokla , Raj Kachori"
"Angel Snacks","Delhi NCR","Krishna Nagar",0,0,"Italian, Fast Food",No,No,NULL
Cake,"Delhi NCR","Sector 44, Gurgaon",2.9,10,Bakery,Yes,No,NULL
"Amrit Bhog",Kolkata,"Howrah Station Area",3.5,18,"Desserts, South Indian, Fast Food",Yes,No,NULL
"Brain Freeze Icecream & Desserts",Mumbai,"Borivali West",4.1,318,"Ice Cream, Desserts",Yes,No,"Waffles , Brownie Chocolate , Flavored Ice Cream , Belgium Chocolate"
"Noon To Moon","Delhi NCR","South Extension 1",2.8,5,"North Indian, Chinese",Yes,No,NULL
"Keshar Restaurant",Mumbai,Nalasopara,3.3,15,"North Indian, Seafood",Yes,No,NULL
"Lazzat E Kolkata",Kolkata,Kaikhali,0,0,"North Indian",Yes,No,NULL
"CFD - Crazzy For Dimsums","Delhi NCR","Sector 26, Noida",3.7,46,"Fast Food, Momos",Yes,No,"Afghani Momos , Kurkure Momo , Oreo Shake"
Suziewong,"Delhi NCR","Sector 49",3.8,107,"Thai, Chinese, Momos",Yes,No,"Momos , Noodle , Spring Roll , Chilli Paneer , Chicken Gyoza , Manchurian , Hakka Noodles"
"Punjabi Zaika","Delhi NCR",Sahibabad,2.7,10,"North Indian, Mughlai",No,No,NULL
Kaligodam,Kolkata,"Bara Bazar",3.5,28,"Mishti, Street Food",Yes,No,NULL
"R9 Roadiz","Delhi NCR",Janakpuri,0,0,"North Indian, Chinese",No,No,NULL
"Kafila Lounge & Bar","Delhi NCR",Shahdara,0,0,"Finger Food, North Indian",No,No,NULL
Gokul9,Mumbai,Colaba,3.7,38,"Fast Food",No,No,"Pav Bhaji , Idli , Masala Pav , Vada Pav"
"Shobhit Yadav Bhoj","Delhi NCR","Raj Nagar",3.2,8,"North Indian, Chinese",Yes,No,"Shahi Paneer , Butter Chaap , Kadhai Paneer"
"Sky Wok - Park Inn by Radisson","Delhi NCR",Patparganj,4.3,170,"Chinese, Momos",No,No,"Chicken Dim Sum , Spring Roll , Manchurian , Hakka Noodles , Drums Of Heaven , Jasmine Tea , Mocktails"
Mehfil,"Delhi NCR","Defence Colony",3.3,66,"North Indian, Chinese",Yes,No,NULL
"Cafe Plus","Delhi NCR","Sector 18, Noida",2.8,8,"Mexican, Fast Food",Yes,No,"Vegetable Grilled Sandwich , Veg Burger , All Veggie Pasta , Chicken Salami And Egg Pizza"
"The Bombay Natural Kulfi","Delhi NCR","Karol Bagh",3.6,42,"Desserts, Ice Cream",Yes,No,NULL
"Delhi Delight Food","Delhi NCR",Alaknanda,0,0,"Chinese, Fast Food",No,No,NULL
"Shree Nandi Dosa",Mumbai,Vashi,0,0,"Fast Food, South Indian, Tea",Yes,No,NULL
"Uncle Taste-Only Chinese","Delhi NCR","Sector 110, Noida",0,0,Chinese,Yes,No,NULL
"Cafeteria & Co.","Delhi NCR","Vijay Nagar",4.6,4639,"Continental, Mexican, Fast Food",No,No,"Burgers , Fries , Pizza , Pasta , Death By Chocolate , Tiramisu Shake , Peri Peri Chicken Tikka"
"Bikaner's Sweets","Delhi NCR",Mahipalpur,0,0,"Mithai, Street Food",No,No,NULL
"Satya Narayan Fast Food",Kolkata,Serampore,0,0,"Chinese, Fast Food",No,No,NULL
"Loaf Espresso",Kolkata,Barasat,3.6,32,"Beverages, Fast Food",Yes,No,NULL
"Garden Restaurant",Mumbai,Marol,3.5,25,"North Indian, Mughlai, South Indian, Chinese, Mangalorean",Yes,No,NULL
"Choicest Cakes","Delhi NCR","Sector 93, Noida",3.6,26,Bakery,Yes,No,NULL
"TNG Food - Tandoor & Grill","Delhi NCR","Raj Nagar",4,149,"North Indian, Chinese, European, Italian, Mexican",Yes,No,"Pasta , Chaap , Butter Naan , Chicken Wings , Chilly Paneer Sizzler , Lasagne , Dal Makhani"
"EmblemÃ¢â‚¬â„¢s Kitchen","Delhi NCR","Sector 14, Gurgaon",3.2,9,"Continental, North Indian, Chinese",No,Yes,NULL
"World Of Pizzeria Bistro","Delhi NCR","Raj Nagar",3.2,6,"Italian, North Indian, Fast Food",No,No,NULL
"Soul Cafe 24*7",Kolkata,Kankurgachi,3.4,11,Cafe,No,No,NULL
"Hyderabad Spl. Chicken Biryani Point","Delhi NCR","Mukherjee Nagar",3.5,62,Mughlai,No,No,NULL
"37 Food Hub","Delhi NCR","Sector 37, Gurgaon",3.4,18,"North Indian, Chinese, Mughlai",Yes,No,NULL
"Shahi Roll Center","Delhi NCR",Nangloi,0,0,Rolls,No,No,NULL
"Suruchi Zeal",Mumbai,Vasai,3.6,162,"North Indian, Chinese, Thai",No,No,"Naan , Sea Food , Chicken Hot Garlic , Chicken Lollipop"
"Paratha Plaza","Delhi NCR","Qutab Institutional Area",0,0,"North Indian, Chinese",No,No,NULL
Shikhara,"Delhi NCR","Greater Kailash 1 (GK1)",4.2,456,"North Indian, Mughlai",Yes,No,"Butter Chicken , Mutton Korma , Chicken Tikka , Naan , Fish Tikka , Dal Shikhara , Dal Makhani"
"Vishu's Cakery","Delhi NCR","South City 2",0,0,Bakery,No,No,NULL
"Anytime Kitchen","Delhi NCR","Rajouri Garden",3.2,10,"North Indian, Chinese",Yes,No,NULL
Foodicious,"Delhi NCR","Sector 1, Noida",0,0,"Fast Food, Street Food",No,No,NULL
"Annapurna Hotel",Kolkata,"New Town",0,0,"North Indian, Chinese",No,No,NULL
"Hungry Minister","Delhi NCR","Sector 41, Noida",3.7,280,"Continental, Mexican, Fast Food, Chinese",Yes,No,"Burgers , Sandwich , Chilli Chicken , White Sauce Pasta , Salad , Paneer Burger , Veg Burger"
"Maakhan Kulfi","Delhi NCR","Krishna Nagar",3.6,83,"Ice Cream, Beverages",Yes,No,"Kulfi , Waffles"
"Beeji Ki Rasoi",Mumbai,"Santacruz West",3.5,22,"North Indian, Street Food",Yes,No,NULL
"Trendy Foods",Kolkata,Kestopur,3.4,17,"Rolls, North Indian, Chinese, Biryani, Fast Food",Yes,No,NULL
"Urban Pasta King","Delhi NCR",Rohini,0,0,"Fast Food, Beverages",Yes,No,NULL
"The Bawarchi Restaurant",Mumbai,Nalasopara,3.3,14,Chinese,Yes,No,NULL
Tamasha,"Delhi NCR","Connaught Place",4.5,8866,"Finger Food, North Indian, Continental, Italian",No,No,"Pizza , Cocktails , Pasta , Nachos , Long Island Iced Tea , Beer , Virgin Mary"
"Mad Drop","Delhi NCR","Sector 21, Faridabad",4,190,"Fast Food, Beverages, Desserts",Yes,No,"Pasta , Waffles , Burgers , Pizza Fries , Freak Shake , Cheese Burger , Hot Chocolate"
"Pandit Ji Tikki Wale","Delhi NCR","Sector 72, Noida",0,0,"Street Food",No,No,NULL
"Crossroad Udipi",Kolkata,"Jodhpur Park",3,4,"South Indian, Street Food",Yes,No,NULL
"SDB Smoking Pizza & Bakers","Delhi NCR","Jawahar Colony",3.1,4,"Bakery, Fast Food",Yes,No,NULL
"Royal Challenge",Mumbai,"Goregaon East",3.5,397,"North Indian, Chinese, Seafood",Yes,Yes,"Butter Chicken , Naan , Cocktails , Manchow Soup , Dal Tadka , Rumali Roti , Paneer Tikka"
"Balaji Fast Food","Delhi NCR",Ballabhgarh,0,0,"Fast Food, Chinese",No,No,NULL
"Bilal Restaurant","Delhi NCR",Jasola,3.1,5,"North Indian",No,No,NULL
"Glaz'd Patisserie","Delhi NCR","DLF Phase 3",0,0,Bakery,No,No,NULL
"Madras Coffee House","Delhi NCR","Sector 135, Noida",3.3,8,Beverages,No,No,NULL
