RESTAURANT_NAME,CITY,AREA,RATING,RATING_COUNT,CUSINE,Online_Order,TABLE_RESERVATION,FAMOUS_FOOD
"Urban Cuisine","Delhi NCR","Sector 86, Faridabad",3.5,140,"North Indian, Chinese, Mughlai",Yes,No,"Butter Chicken , Paneer Angara , Dal Makhani"
"Jhama Silver Sweets",Mumbai,"Kopar Khairane",3.7,46,"Mithai, Street Food",No,No,"Panipuri , Chaat , Sev Puri"
"Khana Khazana","Delhi NCR","Old Railway Road",0,0,"North Indian",Yes,No,NULL
Southy,"Delhi NCR","DLF Phase 4",3.9,76,"South Indian",Yes,No,"Rava Masala Dosa , Vada Sambar , Lemon Rice , Idli , Upma"
"TLC Kitchen","Delhi NCR","Sector 19, Dwarka",3.5,47,"North Indian, Chinese",Yes,No,NULL
Lucknow,Kolkata,"Dum Dum",2.6,81,"North Indian, Fast Food",No,No,"Chicken Biryani , Paratha"
Nimtho,"Delhi NCR","Greater Kailash 1 (GK1)",4.1,357,"Nepalese, Chinese, Asian",Yes,Yes,"Momos , Pork Ribs , Thali , Thukpa , Pork Momo , Chilli Momo , Chicken Curry"
"The Cone Factory",Mumbai,Fort,4.2,100,Italian,Yes,No,"Cone Pizza , Paneer Tikka , Peri Peri Chicken , Paneer Peri Peri , Smoked Chicken , Chicken Tikka , Chipotle Chicken"
"The Artistic Desserts",Kolkata,Baguihati,3.4,17,"Bakery, Desserts",No,No,NULL
Cocoaaahhh,"Delhi NCR","Greater Kailash 1 (GK1)",0,0,Desserts,No,No,NULL
"The Ahare Bahare Kitchen",Kolkata,Behala,3.5,318,Bengali,Yes,No,"Fish Pakoda"
"Chawla Express","Delhi NCR","Mukherjee Nagar",3.1,4,"North Indian, Mughlai, Chinese, Fast Food",Yes,No,NULL
"Raju Grill","Delhi NCR","Sector 11, Faridabad",0,0,"Fast Food",No,No,NULL
"Dear Donna","Delhi NCR","Qutab Institutional Area",3.4,333,"Finger Food, American",No,No,"Cocktails , Pizza , Sushi , White Sauce Pasta"
"Greasy Spoon Cafe","Delhi NCR","Sector 81, Faridabad",0,0,"Fast Food, Chinese",No,No,NULL
"Yo Munching","Delhi NCR","Sector 7, Gurgaon",3.3,73,Chinese,No,No,NULL
"Amritsari Express","Delhi NCR","Sector 53, Gurgaon",0,0,"North Indian",No,No,NULL
"Chutney D'Lite","Delhi NCR",Saket,3.3,79,"North Indian",Yes,No,"Dal Makhani , Naan , Butter Chicken , Malai Kofta , Dal Tadka , Chicken Tikka Masala , Tandoori Chicken"
"Nanuji- By Nanumal Bhojraj",Mumbai,Kharghar,0,0,"North Indian, Chinese, Continental",Yes,Yes,NULL
"Yam Food Point","Delhi NCR","Sector 14, Gurgaon",3,4,"South Indian, North Indian",Yes,No,NULL
"The Burger Week","Delhi NCR","Mayapuri Phase 1",2.9,6,"Burger, Beverages",No,No,NULL
Shahenshah,"Delhi NCR","Sector 51, Noida",3.7,164,"North Indian, Mughlai, Chinese",Yes,No,"Chicken Biryani , Dal Makhani , Murgh Lababdar , Chicken Rara , Malai Kofta , Butter Chicken , Naan"
"Orange And Chilli Biryani",Mumbai,Chembur,3.3,14,"North Indian, Chinese, Biryani",No,No,NULL
"Dear Chocolate","Delhi NCR","Lajpat Nagar 2",3.3,14,Desserts,Yes,No,NULL
"Wakhra Swag By Mafia Kitchen","Delhi NCR","Sector 27, Noida",3.7,105,"North Indian, Mughlai",Yes,No,"Chicken Curry , Butter Chicken"
"Ghare Baire",Kolkata,Hazra,3.7,63,"Bengali, Bangladeshi",No,No,"Mutton Kasha , Mutton Dak Bunglow , Veg Thali , Chital Muitha , Luchi"
"TIME PASS",Kolkata,Khardah,3,6,"Fast Food, Street Food",No,No,NULL
"Night Out cafe","Delhi NCR","Shalimar Bagh",3.2,7,"North Indian, Continental, Chinese, Italian",Yes,No,NULL
"Damru Paan Shop",Mumbai,"Borivali West",3.8,53,Paan,Yes,No,"Paan Shot , Meetha Paan , White Chocolate Paan , Ladoo"
"Gujrati Basa",Kolkata,"Bara Bazar",3.5,48,Gujarati,Yes,No,NULL
"Punjabi Rasoi","Delhi NCR","DLF Phase 3",3.6,160,"North Indian",Yes,No,"Dal Makhani , Paratha , Kadhai Paneer"
"Om Bakers","Delhi NCR",Azadpur,0,0,"Bakery, South Indian, Street Food, Mithai",No,No,NULL
"Cafe Youth","Delhi NCR","Vasundhara Enclave",3.2,5,Chinese,No,No,NULL
"Hotel White Castle","Delhi NCR","Sector 93, Noida",0,0,"North Indian, Chinese",No,No,NULL
"Modi Bakery","Delhi NCR",Jangpura,0,0,Bakery,No,No,NULL
"Manjeet Chicken Centre","Delhi NCR","Mukherjee Nagar",3.7,100,"North Indian",No,No,"Butter Chicken , Tawa Chicken"
"New Airport Restaurant",Mumbai,Marol,3.9,381,"North Indian, Mughlai",No,No,"Caramel Custard , Tandoori Chicken , Butter Chicken , Tandoori Roti , Pudding , Mutton Biryani , Murgh Angara"
"Cafe Rendezvous","Delhi NCR","Malviya Nagar",3.7,296,"Asian, North Indian, Continental, Momos",Yes,Yes,"Pasta , Butter Chicken , Naan , Dal Makhani , Margherita Pizza , Mutton Roganjosh , Malai Kofta"
"The Burger Homes","Delhi NCR","Sector 31, Gurgaon",3.3,14,"Burger, Fast Food",Yes,No,NULL
"My Bar Headquarters","Delhi NCR","Connaught Place",4,5772,"North Indian, Mughlai, Chinese",No,No,"Pizza , Beer , Cocktails , White Sauce Pasta , Chocolate Truffle , Mocktails , Honey Chilli Potatoes"
"Karan Momos Corner",Mumbai,Ulhasnagar,3.2,7,Momos,No,No,NULL
"Juice Bar","Delhi NCR",Rohini,0,0,"Juices, Beverages",No,No,NULL
"Oye Hotdogs","Delhi NCR",Kalkaji,3.6,54,"Fast Food",Yes,No,"White Sauce Pasta"
"Tasty Place","Delhi NCR","Uttam Nagar",0,0,"North Indian, Chinese",No,No,NULL
Zoe,"Delhi NCR","Sector 23, Gurgaon",4.3,242,"Juices, Beverages, Healthy Food",Yes,No,"Salad , Mocha Frappe , Chicken Sandwich , Tea , Yoghurt Parfait , Cinnamon Frappe , Detox Water"
"Heart Bites",Kolkata,Baghajatin,0,0,"Fast Food",Yes,No,NULL
"Candle Heart Restaurant","Delhi NCR","Pratap Vihar",3.4,20,"North Indian, Chinese, Continental, Beverages",Yes,No,NULL
"Teens Cafe Fast Food","Delhi NCR","Preet Vihar",0,0,Chinese,No,No,NULL
"O Zone Restaurant & Bar",Kolkata,Baguihati,2.8,37,"North Indian, Chinese",No,No,NULL
